职位名称,薪资,工作经验,学历要求,工作地点,公司名称
咨询顾问,8-13K·13薪,1-3年,本科,成都·金牛区·抚琴,趋势引领
解决方案工程师,11-22K·15薪,3-5年,硕士,成都·龙泉驿区·大面,航天恒星
运维工程师,7-8K,1年以内,大专,成都·武侯区,鼎盛嘉科电子
系统集成工程师,5-10K,1-3年,大专,成都·青羊区·八宝街,捷睿德
渗透测试工程师,15-30K,1-3年,学历不限,成都·武侯区·新会展中心,极略
功能安全工程师,40-70K·15薪,3-5年,硕士,成都·武侯区·紫荆,翌创微
市场拓展岗,8-13K,3-5年,本科,成都,银联金卡科技
逆向开发工程师/逆向工程,15-30K,3-5年,本科,成都·武侯区·桂溪,途美
双休-在线审核专员-六险一金,5-7K,经验不限,大专,成都·武侯区·新会展中心,四川雪见
高级安全工程师,13-20K,1-3年,本科,成都·武侯区·复城国际广场,北京跨联元焕
售后工程师,5-8K,1-3年,大专,成都·武侯区·石羊场,创码科技
运维工程师,8-13K·14薪,经验不限,本科,成都·双流区·华阳,子暄网络科技
嵌入式软件工程师（网络安全方向）,12-20K·13薪,1-3年,本科,成都·武侯区·桂溪,映翰通
大客户销售,12-15K,3-5年,学历不限,成都·锦江区·三圣乡,爱加密
架构师,20-30K,5-10年,本科,成都·武侯区·新会展中心,千百年科技
祥鹏航空成都分公司运维工程师,6-8K,1-3年,本科,成都·双流区·双流机场,祥鹏航空成都分公司
售前技术支持,8-12K,3-5年,本科,成都,九州远通科技有限公司
信息科技风险咨询顾问,12-15K,1-3年,本科,成都·武侯区·新会展中心,中润长弘
C开发工程师（中级）,12-18K·14薪,3-5年,本科,成都·武侯区·中和,中电信量子集团
售前工程师-成都,10-15K,3-5年,本科,成都·双流区·华阳,赛宁网安
售前工程师,8-9K,3-5年,大专,成都·武侯区·火车南站,中科誉
高级咨询顾问,13-22K·13薪,3-5年,本科,成都·武侯区·中和,众云道
运维工程师,4-8K,在校/应届,中专/中技,成都·武侯区·玉林,成都优加特
石油勘探工程师,4-8K,经验不限,本科,成都·武侯区·石羊场,西安航玮航空电磁科技
运维工程师,3-8K,经验不限,大专,成都·武侯区·火车南站,途盛
通信网络优化,6-7K,经验不限,高中,成都·青羊区·人民公园,锦西数智
售前支撑--实习生（成都）,2-5K,经验不限,学历不限,成都·武侯区·航空路,亚创信息
产品经理,10-11K,1-3年,本科,成都·武侯区·桂溪,BBD
网络与系统集成工程师,6-8K·13薪,1-3年,大专,成都·武侯区·芳草街,锦程宇扬
成都研发中心总监,21-40K·14薪,5-10年,本科,成都·武侯区·孵化园,国舜股份
软件测试工程师,10-15K·13薪,1-3年,本科,成都·武侯区·桂溪,科来
电脑技术员,3-5K,1-3年,中专/中技,成都·锦江区·红星路,虾王
采购主管,8-12K,3-5年,大专,成都·武侯区·芳草街,成都汉康
c/c++中级软件工程师,10-15K·13薪,3-5年,大专,成都·武侯区·新会展中心,云集至
成都研发负责人,25-40K,5-10年,本科,成都·武侯区·孵化园,中睿天下
销售经理-成都,12-20K·20薪,3-5年,本科,成都·锦江区·三圣乡,六方云
网络技术工程师,2-3K,1年以内,本科,成都·武侯区·新会展中心,阔景科技
C/C++开发工程师,12-20K·13薪,1-3年,本科,成都·武侯区·高朋大道,京邮通联
芯片软件验证/SDK开发软件工程师,13-15K·16薪,1-3年,本科,成都·双流区·华阳,新华三技术有限公司
技术总监,13-22K,5-10年,本科,成都·武侯区·红牌楼,四川云时代
售前工程师,6-7K,1-3年,本科,成都·武侯区·紫荆,贝迪特
中/高级软件开发工程师（驱动方向）,15-25K,1-3年,本科,成都·双流区·华阳,烽火成都研发中心
SEO 网站网络推广专员,4-8K,1-3年,中专/中技,成都·武侯区·火车南站,天安齐力租赁
系统管理员,2-4K,1年以内,大专,成都·金牛区,丹巴县雪原藏蜜公司
技术服务工程师,7-10K·15薪,1-3年,本科,成都·双流区·华阳,绿盟科技
JAVA开发工程师,12-17K,3-5年,本科,成都·武侯区·新会展中心,游戏工场
网络工程师,5-7K,1年以内,本科,成都·武侯区·省体育馆,成都网快科技有限公司
运维工程师,4-8K·13薪,1-3年,大专,成都·武侯区·玉林,润原科技
技术合伙人CTO,1-2K,5-10年,本科,成都·金牛区·抚琴,大医智慧
